Title,Content,Country,Type,year,country,Image,
Ο Θεός είναι ο τέλειος Καλλιτέχνης και Ποιητής!,"Είμαστε καλλιτέχνες με τον τρόπο που αγαπάμε!
Είμαστε ποιητές με τον τρόπο που προσευχόμαστε!
Jonathan Jackson",Ελλάδα,News,2021,Ελλάδα,176331680_4289150694488060_1670291754001356251_n.jpg,
Πασχαλινά δώρα αγάπης - Αφρική - Μπουρούντι,"Στείλαμε τα δώρα της αγάπης μας για το Πάσχα στο Μπουρούντι:

Για την αγορά φασολιών που είναι το συνηθισμένο φαγητό τους και είναι πολύ χαρούμενοι όταν το έχουν, για να δοθούν στις χριστιανικές κοινότητες που βοηθάμε.

Για την αγορά κουλουριών για τα παιδιά του σχολείου μας, Δημοτικού, Γυμνασίου, Λυκείου, στη Μπουραμάτα.

Για τα εισιτήρια του π. Δημητρίου για τις Θ. Λειτουργίες που τελούνται στην χριστιανική κοινότητα Γκιγκούγκουε.",Μπουρουντι,News,2021,Μπουρουντι,,
 Πασχαλινά δώρα αγάπης - Ελλάδα,"Καθώς οι Άγιες ημέρες για την Ανάσταση του Χριστού μας πλησιάζουν και η καρδιά μας είναι πλημμυρισμένη από συναισθήματα αγάπης και αλληλεγγύης για τα παιδιά και τους συνανθρώπους μας, στείλαμε τα δώρα της αγάπης μας:

Στην Ενορία «Παναγίτσα»  στην Τράπεζα αγάπης για τις φτωχές οικογένειες.

Στο  «σπίτι του Πολίτη» για τους δώδεκα μοναχικούς συνανθρώπους μας.

Στα δυο αδέρφια Μαρίνο και Δημήτρη στη Ν. Ιωνία.",Ελλάδα,News,2021,Ελλάδα,,
Ιερός Ναός στην Τανζανία,"Στην καταπράσινη, πανέμορφη, μα τόσο φτωχική χώρα της Αφρικής την Τανζανία, ο καλός μας Επίσκοπος Αγαθόνικος και ο Ιερέας Ερμόλαος Ιατρού, προσπαθούν να δημιουργήσουν χριστιανικές κοινότητες και να χτίσουν χριστιανικούς Ιερούς Ναούς.
Ο π. Αρμόλαος εδώ και αρκετά χρόνια προσφέρει στους συνανθρώπους μας στην Αφρική, με ανιδιοτέλεια κι έχει κάνει μεγάλο Ιεραποστολικό έργο.
Αυτήν τη χρονική περίοδο προσπαθεί να χτίσει την πρώτη Ορθόδοξη Χριστιανική εκκλησία στην πόλη Ντοντόνα, αφιερωμένη στους δώδεκα Αποστόλους και μας ζήτησε να βοηθήσουμε.
Νιώσαμε μεγάλη ευλογία που οι "" Άνθρωποι αγάπης "" έστειλαν βοήθεια για την ίδρυση αυτού του Ιερού Ναού!",Τανζανια,News,2021,Τανζανια,tazania6.jpg,
Αγαπημένα παραμύθια,"Αν είσαι μαμά, μπαμπάς, γιαγιά, παππούς, δασκάλα, δάσκαλος ή απλά ένας άνθρωπος που κρύβει στην καρδιά του ένα παιδί, τότε μπορείς , αν θέλεις, ν' ακούσεις παρέα μ' ένα ή περισσότερα παιδιά όμορφα  παραμύθια, αγαπημένων παραμυθάδων στο YouTube από τη ""χαρούμενη καρδιά"" !
Καλή ακρόαση!",Ελλάδα,News,2021,Ελλάδα,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
Αγάπη στα παιδιά του κόσμου,"Ό,τι χρειάζεται η ψυχή του παιδιού είναι: Το φως του ήλιου, τα παιχνίδια, το καλό παράδειγμα, λίγη αγάπη!

Φιοντόρ Ντοστογιέφσκι",Τανζανια,News,2021,Τανζανια,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
Αγάπη στα παιδιά του κόσμου,"Ό,τι χρειάζεται η ψυχή του παιδιού είναι: Το φως του ήλιου, τα παιχνίδια, το καλό παράδειγμα, λίγη αγάπη!

Φιοντόρ Ντοστογιέφσκι",,News,2021,,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
Αγάπη στα παιδιά του κόσμου,"Ό,τι χρειάζεται η ψυχή του παιδιού είναι: Το φως του ήλιου, τα παιχνίδια, το καλό παράδειγμα, λίγη αγάπη!

Φιοντόρ Ντοστογιέφσκι",Ρουαντα,News,2021,Ρουαντα,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
Αγάπη στα παιδιά του κόσμου,"Ό,τι χρειάζεται η ψυχή του παιδιού είναι: Το φως του ήλιου, τα παιχνίδια, το καλό παράδειγμα, λίγη αγάπη!

Φιοντόρ Ντοστογιέφσκι",Ουγκαντα,News,2021,Ουγκαντα,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
Αγάπη στα παιδιά του κόσμου,"Ό,τι χρειάζεται η ψυχή του παιδιού είναι: Το φως του ήλιου, τα παιχνίδια, το καλό παράδειγμα, λίγη αγάπη!

Φιοντόρ Ντοστογιέφσκι",Μολδαβια,News,2021,Μολδαβια,27e902ac681d4582521bbd0a443c0e87-678x381.jpg,
